universityId,universityName,nirfRank,city,state,courseId,courseName,category,fees,admissionCriteria,duration,tags,universityLink,courseLink
iit-kanpur,"Indian Institute of Technology Kanpur",5,"Kanpur","India",iit-kanpur-mba,"Master of Business Administration","Business","Rs. 10,00,000","CAT","2 Years","Industrial Management,Finance,Marketing","https://www.iitk.ac.in/","https://www.iitk.ac.in/ime/"
iit-kanpur,"Indian Institute of Technology Kanpur",5,"Kanpur","India",iit-kanpur-mse,"Materials Science and Engineering","Engineering","Rs. 2,15,000","JEE Advanced","4 Years","Metallurgy,Polymers,Biomaterials","https://www.iitk.ac.in/","https://www.iitk.ac.in/mse/"
iit-kanpur,"Indian Institute of Technology Kanpur",5,"Kanpur","India",iit-kanpur-stats,"Statistics and Data Science","Arts & Science","Rs. 2,15,000","JEE Advanced","4 Years","Probability,Stochastic Processes,Machine Learning","https://www.iitk.ac.in/","https://www.iitk.ac.in/math/bs-program-in-statistics-and-data-science"
iit-kharagpur,"Indian Institute of Technology Kharagpur",6,"Kharagpur","India",iit-kgp-agri,"Agricultural and Food Engineering","Engineering","Rs. 2,25,000","JEE Advanced","4 Years","Food Processing,Farm Machinery,Irrigation","https://www.iitkgp.ac.in/","http://www.agfe.iitkgp.ac.in/"
iit-kharagpur,"Indian Institute of Technology Kharagpur",6,"Kharagpur","India",iit-kgp-arch,"Architecture","Arts & Science","Rs. 2,25,000","JEE Advanced (AAT)","5 Years","Urban Planning,Industrial Design,Landscape Architecture","https://www.iitkgp.ac.in/","http://www.arp.iitkgp.ac.in/"
iit-kharagpur,"Indian Institute of Technology Kharagpur",6,"Kharagpur","India",iit-kgp-law,"Intellectual Property Law","Business","Rs. 3,50,000","Entrance Test","3 Years","Patents,Copyrights,Trademarks","https://www.iitkgp.ac.in/","http://www.rgsoipl.iitkgp.ac.in/"
iit-kharagpur,"Indian Institute of Technology Kharagpur",6,"Kharagpur","India",iit-kgp-med,"MBBS","Medicine","Rs. 2,50,000","NEET","5.5 Years","Cardiology,Neurology,Oncology","https://www.iitkgp.ac.in/","https://www.iitkgp.ac.in/department/SMST"
iit-kharagpur,"Indian Institute of Technology Kharagpur",6,"Kharagpur","India",iit-kgp-cs,"Computer Science & Engineering","Engineering","Rs. 2,25,000","JEE Advanced","4 Years","AI,Cybersecurity,Algorithms","https://www.iitkgp.ac.in/","http://www.cse.iitkgp.ac.in/"
iit-roorkee,"Indian Institute of Technology Roorkee",8,"Roorkee","India",iit-roorkee-civil,"Civil Engineering","Engineering","Rs. 2,30,000","JEE Advanced","4 Years","Structural Engg,Geotechnical,Transportation","https://www.iitr.ac.in/","https://www.iitr.ac.in/departments/CE/pages/Home.html"
iit-roorkee,"Indian Institute of Technology Roorkee",8,"Roorkee","India",iit-roorkee-arch,"Architecture and Planning","Arts & Science","Rs. 2,30,000","JEE Advanced (AAT)","5 Years","Urban Design,Conservation,Housing","https://www.iitr.ac.in/","https://www.iitr.ac.in/departments/AR/pages/Home.html"
iit-roorkee,"Indian Institute of Technology Roorkee",8,"Roorkee","India",iit-roorkee-mba,"Master of Business Administration","Business","Rs. 10,50,000","CAT","2 Years","Marketing,Finance,HR","https://www.iitr.ac.in/","https://www.iitr.ac.in/doms/pages/Home.html"
iit-roorkee,"Indian Institute of Technology Roorkee",8,"Roorkee","India",iit-roorkee-earth,"Earth Sciences","Arts & Science","Rs. 2,30,000","JAM","2 Years","Geology,Geophysics","https://www.iitr.ac.in/","https://www.iitr.ac.in/departments/ES/pages/Home.html"
iit-roorkee,"Indian Institute of Technology Roorkee",8,"Roorkee","India",iit-roorkee-cs,"Computer Science & Engineering","Engineering","Rs. 2,30,000","JEE Advanced","4 Years","AI,Data Science,HPC","https://www.iitr.ac.in/","https://www.iitr.ac.in/departments/CSE/pages/Home.html"
iit-guwahati,"Indian Institute of Technology Guwahati",9,"Guwahati","India",iit-guwahati-design,"Design","Arts & Science","Rs. 2,40,000","UCEED","4 Years","Industrial Design,Visual Communication","https://www.iitg.ac.in/","https://www.iitg.ac.in/design/"
iit-guwahati,"Indian Institute of Technology Guwahati",9,"Guwahati","India",iit-guwahati-che,"Chemical Engineering","Engineering","Rs. 2,40,000","JEE Advanced","4 Years","Petroleum,Polymers","https://www.iitg.ac.in/","https://www.iitg.ac.in/chemeng/"
iit-guwahati,"Indian Institute of Technology Guwahati",9,"Guwahati","India",iit-guwahati-dsai,"Data Science and Artificial Intelligence","Engineering","Rs. 2,40,000","JEE Advanced","4 Years","Machine Learning,Big Data,AI Models","https://www.iitg.ac.in/","https://www.iitg.ac.in/cse/dsai-btech"
iit-guwahati,"Indian Institute of Technology Guwahati",9,"Guwahati","India",iit-guwahati-hss,"Humanities and Social Sciences","Arts & Science","Rs. 2,40,000","Entrance Exam","2 Years","Sociology,Economics,Linguistics","https://www.iitg.ac.in/","https://www.iitg.ac.in/hss/"
iit-guwahati,"Indian Institute of Technology Guwahati",9,"Guwahati","India",iit-guwahati-bsbe,"Biosciences and Bioengineering","Engineering","Rs. 2,40,000","JEE Advanced","4 Years","Biomaterials,Genetics,Drug Design","https://www.iitg.ac.in/","https://www.iitg.ac.in/bsbe/"
jnu-delhi,"Jawaharlal Nehru University",10,"New Delhi","India",jnu-int,"International Relations","Arts & Science","Rs. 1,300","JNUEE","2 Years","Foreign Policy,Diplomacy,Area Studies","https://www.jnu.ac.in/","https://www.jnu.ac.in/sis"
jnu-delhi,"Jawaharlal Nehru University",10,"New Delhi","India",jnu-life,"Life Sciences","Arts & Science","Rs. 1,300","JNUEE","2 Years","Molecular Biology,Genetics","https://www.jnu.ac.in/","https://www.jnu.ac.in/sls"
jnu-delhi,"Jawaharlal Nehru University",10,"New Delhi","India",jnu-lang,"Linguistics","Arts & Science","Rs. 1,300","JNUEE","2 Years","Phonetics,Syntax,Sociolinguistics","https://www.jnu.ac.in/","https://www.jnu.ac.in/sl"
jnu-delhi,"Jawaharlal Nehru University",10,"New Delhi","India",jnu-cs,"Computer Science","Engineering","Rs. 1,300","JNUEE","2 Years","AI,Data Mining","https://www.jnu.ac.in/","https://www.jnu.ac.in/scs"
jnu-delhi,"Jawaharlal Nehru University",10,"New Delhi","India",jnu-eco,"Economics","Arts & Science","Rs. 1,300","JNUEE","2 Years","Development Economics,Macroeconomics","https://www.jnu.ac.in/","https://www.jnu.ac.in/sss/cses"
bhu-varanasi,"Banaras Hindu University",11,"Varanasi","India",bhu-mbbs,"MBBS","Medicine","Rs. 1,34,000","NEET","5.5 Years","Anatomy,Physiology","https://www.bhu.ac.in/","https://www.bhu.ac.in/ims/"
bhu-varanasi,"Banaras Hindu University",11,"Varanasi","India",bhu-agri,"B.Sc. Agriculture","Arts & Science","Rs. 15,000","CUET","4 Years","Agronomy,Horticulture","https://www.bhu.ac.in/","https://www.bhu.ac.in/ias/"
bhu-varanasi,"Banaras Hindu University",11,"Varanasi","India",bhu-law,"LLB","Arts & Science","Rs. 60,000","CUET","3 Years","Constitutional Law,Criminal Law","https://www.bhu.ac.in/","https://www.bhu.ac.in/law/"
bhu-varanasi,"Banaras Hindu University",11,"Varanasi","India",bhu-mba,"Master of Business Administration","Business","Rs. 3,00,000","CAT","2 Years","Agribusiness,Finance","https://www.bhu.ac.in/","https://www.bhu.ac.in/fms/"
bhu-varanasi,"Banaras Hindu University",11,"Varanasi","India",bhu-music,"Performing Arts","Arts & Science","Rs. 10,000","CUET","3 Years","Vocal,Instrumental,Dance","https://www.bhu.ac.in/","https://www.bhu.ac.in/vpa/"
du-delhi,"University of Delhi",15,"New Delhi","India",du-bcom,"B.Com (Hons)","Business","Rs. 45,000","CUET","3 Years","Accounting,Finance,Taxation","http://www.du.ac.in/","http://www.du.ac.in/index.php?page=commerce"
du-delhi,"University of Delhi",15,"New Delhi","India",du-eco,"BA Economics","Arts & Science","Rs. 40,000","CUET","3 Years","Microeconomics,Macroeconomics,Statistics","http://www.du.ac.in/","http://www.du.ac.in/index.php?page=economics"
du-delhi,"University of Delhi",15,"New Delhi","India",du-eng,"BA English","Arts & Science","Rs. 40,000","CUET","3 Years","Literature,Poetry,Prose","http://www.du.ac.in/","http://www.du.ac.in/index.php?page=english"
du-delhi,"University of Delhi",15,"New Delhi","India",du-cs,"B.Sc. Computer Science","Engineering","Rs. 60,000","CUET","3 Years","Programming,Data Structures,Web Development","http://www.du.ac.in/","http://www.du.ac.in/index.php?page=computer-science"
du-delhi,"University of Delhi",15,"New Delhi","India",du-llb,"LLB","Arts & Science","Rs. 25,000","CUET","3 Years","Corporate Law,IPR,Human Rights","http://www.du.ac.in/","http://www.law.du.ac.in/"
anna-univ-chennai,"Anna University",14,"Chennai","India",anna-mech,"Mechanical Engineering","Engineering","Rs. 60,000","TNEA","4 Years","Manufacturing,Automobile,Robotics","https://www.annauniv.edu/","https://www.annauniv.edu/mech/"
anna-univ-chennai,"Anna University",14,"Chennai","India",anna-it,"Information Technology","Engineering","Rs. 60,000","TNEA","4 Years","IT,Cybersecurity,Cloud Computing","https://www.annauniv.edu/","https://www.annauniv.edu/it/"
anna-univ-chennai,"Anna University",14,"Chennai","India",anna-arch,"Architecture","Arts & Science","Rs. 60,000","NATA","5 Years","Sustainable Architecture,Urban Design","https://www.annauniv.edu/","https://www.annauniv.edu/sap/"
anna-univ-chennai,"Anna University",14,"Chennai","India",anna-mba,"MBA","Business","Rs. 41,000","TANCET","2 Years","Systems Management,Logistics","https://www.annauniv.edu/","https://doms.annauniv.edu/"
anna-univ-chennai,"Anna University",14,"Chennai","India",anna-geo,"Geo-Informatics","Engineering","Rs. 60,000","TNEA","4 Years","Remote Sensing,GIS,Surveying","https://www.annauniv.edu/","https://igp.annauniv.edu/"
calcutta-univ-kolkata,"University of Calcutta",12,"Kolkata","India",calcutta-chem,"Chemistry","Arts & Science","Rs. 12,000","Entrance Exam","2 Years","Organic,Inorganic,Physical","https://www.caluniv.ac.in/","https://www.caluniv.ac.in/academic/department/Chemistry.html"
calcutta-univ-kolkata,"University of Calcutta",12,"Kolkata","India",calcutta-beng,"Bengali","Arts & Science","Rs. 5,000","Merit-based","2 Years","Literature,Linguistics","https://www.caluniv.ac.in/","https://www.caluniv.ac.in/academic/department/Bengali.html"
calcutta-univ-kolkata,"University of Calcutta",12,"Kolkata","India",calcutta-com,"M.Com","Business","Rs. 8,000","Merit-based","2 Years","Finance,Marketing","https://www.caluniv.ac.in/","https://www.caluniv.ac.in/academic/department/Commerce.html"
calcutta-univ-kolkata,"University of Calcutta",12,"Kolkata","India",calcutta-btech,"B.Tech in CSE","Engineering","Rs. 30,000","WBJEE","4 Years","Software,Hardware","https://www.caluniv.ac.in/","https://www.caluniv.ac.in/academic/department/A-CSE.html"
calcutta-univ-kolkata,"University of Calcutta",12,"Kolkata","India",calcutta-neuro,"Neuroscience","Medicine","Rs. 15,000","Entrance Exam","2 Years","Cognitive Science,Molecular Neuroscience","https://www.caluniv.ac.in/","https://www.caluniv.ac.in/academic/department/Neuroscience.html"
manipal-univ,"Manipal Academy of Higher Education",16,"Manipal","India",manipal-mbbs,"MBBS","Medicine","Rs. 70,00,000","NEET","5.5 Years","Clinical Skills,Anatomy","https://manipal.edu/","https://manipal.edu/kmc-manipal.html"
manipal-univ,"Manipal Academy of Higher Education",16,"Manipal","India",manipal-comm,"Communication","Arts & Science","Rs. 12,00,000","MET","3 Years","Journalism,Media,Film","https://manipal.edu/","https://manipal.edu/mic.html"
manipal-univ,"Manipal Academy of Higher Education",16,"Manipal","India",manipal-btech,"B.Tech CSE","Engineering","Rs. 18,00,000","MET","4 Years","AI,Data Science","https://manipal.edu/","https://manipal.edu/mit.html"
manipal-univ,"Manipal Academy of Higher Education",16,"Manipal","India",manipal-bba,"BBA","Business","Rs. 9,00,000","MET","3 Years","Family Business,Finance,Marketing","https://manipal.edu/","https://manipal.edu/dbe-manipal.html"
manipal-univ,"Manipal Academy of Higher Education",16,"Manipal","India",manipal-hotel,"Hotel Management","Business","Rs. 15,00,000","MET","4 Years","Culinary Arts,Hospitality","https://manipal.edu/","https://manipal.edu/wgsha.html"
vit-vellore,"Vellore Institute of Technology",17,"Vellore","India",vit-btech-cs,"B.Tech CSE","Engineering","Rs. 7,80,000","VITEEE","4 Years","AI,Cybersecurity,IoT","https://vit.ac.in/","https://vit.ac.in/schools/scope"
vit-vellore,"Vellore Institute of Technology",17,"Vellore","India",vit-btech-it,"B.Tech IT","Engineering","Rs. 7,80,000","VITEEE","4 Years","Cloud,Big Data","https://vit.ac.in/","https://vit.ac.in/schools/scope"
vit-vellore,"Vellore Institute of Technology",17,"Vellore","India",vit-bba,"BBA","Business","Rs. 5,50,000","Merit-based","3 Years","Finance,Marketing,HR","https://vit.ac.in/","https://vit.ac.in/schools/vitsb"
vit-vellore,"Vellore Institute of Technology",17,"Vellore","India",vit-bca,"BCA","Engineering","Rs. 4,50,000","Merit-based","3 Years","Web Dev,Mobile Apps","https://vit.ac.in/","https://vit.ac.in/schools/scope"
vit-vellore,"Vellore Institute of Technology",17,"Vellore","India",vit-law,"BBA LLB","Arts & Science","Rs. 9,00,000","CLAT/LSAT","5 Years","Corporate Law,IPR","https://vit.ac.in/","https://vit.ac.in/schools/vsol"
harvard-usa,"Harvard University",-1,"Cambridge","USA",harvard-cs,"Computer Science","Engineering","Rs. 45,00,000","SAT, Essays","4 Years","AI,Algorithms,Systems","https://www.harvard.edu/","https://www.seas.harvard.edu/computer-science"
harvard-usa,"Harvard University",-1,"Cambridge","USA",harvard-law,"Juris Doctor (JD)","Arts & Science","Rs. 58,00,000","LSAT, Essays","3 Years","Corporate Law,International Law","https://www.harvard.edu/","https://hls.harvard.edu/"
harvard-usa,"Harvard University",-1,"Cambridge","USA",harvard-mba,"MBA","Business","Rs. 62,00,000","GMAT, Essays","2 Years","Finance,Strategy,Entrepreneurship","https://www.harvard.edu/","https://www.hbs.edu/mba"
harvard-usa,"Harvard University",-1,"Cambridge","USA",harvard-med,"MD Program","Medicine","Rs. 55,00,000","MCAT, Essays","4 Years","Medical Research,Clinical Practice","https://www.harvard.edu/","https://medstudent.hms.harvard.edu/"
harvard-usa,"Harvard University",-1,"Cambridge","USA",harvard-gov,"Political Science","Arts & Science","Rs. 45,00,000","SAT, Essays","4 Years","Political Theory,International Relations","https://www.harvard.edu/","https://gov.harvard.edu/"
mit-usa,"Massachusetts Institute of Technology",-1,"Cambridge","USA",mit-eecs,"Electrical Engineering & Computer Science","Engineering","Rs. 48,00,000","SAT, Essays","4 Years","AI,Robotics,Circuits","https://web.mit.edu/","https://www.eecs.mit.edu/"
mit-usa,"Massachusetts Institute of Technology",-1,"Cambridge","USA",mit-aero,"Aeronautics and Astronautics","Engineering","Rs. 48,00,000","SAT, Essays","4 Years","Space Exploration,Aerodynamics","https://web.mit.edu/","https://aeroastro.mit.edu/"
mit-usa,"Massachusetts Institute of Technology",-1,"Cambridge","USA",mit-mba,"MBA","Business","Rs. 65,00,000","GMAT, Essays","2 Years","Innovation,Finance,Analytics","https://web.mit.edu/","https://mitsloan.mit.edu/mba"
mit-usa,"Massachusetts Institute of Technology",-1,"Cambridge","USA",mit-bio,"Biological Engineering","Engineering","Rs. 48,00,000","SAT, Essays","4 Years","Synthetic Biology,Biomaterials","https://web.mit.edu/","https://be.mit.edu/"
mit-usa,"Massachusetts Institute of Technology",-1,"Cambridge","USA",mit-econ,"Economics","Arts & Science","Rs. 48,00,000","SAT, Essays","4 Years","Econometrics,Development Economics","https://web.mit.edu/","https://economics.mit.edu/"
stanford-usa,"Stanford University",-1,"Stanford","USA",stanford-cs,"Computer Science","Engineering","Rs. 50,00,000","SAT, Essays","4 Years","HCI,AI,Graphics","https://www.stanford.edu/","https://cs.stanford.edu/"
stanford-usa,"Stanford University",-1,"Stanford","USA",stanford-gsb,"MBA","Business","Rs. 66,00,000","GMAT, Essays","2 Years","Leadership,Venture Capital","https://www.stanford.edu/","https://www.gsb.stanford.edu/mba-program"
stanford-usa,"Stanford University",-1,"Stanford","USA",stanford-law,"JD Program","Arts & Science","Rs. 56,00,000","LSAT, Essays","3 Years","Technology Law,IP Law","https://www.stanford.edu/","https://law.stanford.edu/"
stanford-usa,"Stanford University",-1,"Stanford","USA",stanford-med,"MD Program","Medicine","Rs. 52,00,000","MCAT, Essays","4 Years","Biomedical Research,Clinical Care","https://www.stanford.edu/","https://med.stanford.edu/md.html"
stanford-usa,"Stanford University",-1,"Stanford","USA",stanford-design,"Design (d.school)","Arts & Science","Rs. 50,00,000","Portfolio, Essays","2 Years","Design Thinking,Innovation","https://www.stanford.edu/","https://dschool.stanford.edu/"
oxford-uk,"University of Oxford",-1,"Oxford","UK",oxford-ppe,"Philosophy, Politics and Economics","Arts & Science","Rs. 32,00,000","A-Levels, Essays","3 Years","Political Theory,Economic Policy","https://www.ox.ac.uk/","https://www.ppe.ox.ac.uk/"
oxford-uk,"University of Oxford",-1,"Oxford","UK",oxford-cs,"Computer Science","Engineering","Rs. 38,00,000","A-Levels, Essays","4 Years","Algorithms,Security,AI","https://www.ox.ac.uk/","https://www.cs.ox.ac.uk/"
oxford-uk,"University of Oxford",-1,"Oxford","UK",oxford-law,"BA in Jurisprudence","Arts & Science","Rs. 30,00,000","LNAT, Essays","3 Years","Constitutional Law,Criminal Law","https://www.ox.ac.uk/","https://www.law.ox.ac.uk/"
oxford-uk,"University of Oxford",-1,"Oxford","UK",oxford-med,"Medicine","Medicine","Rs. 40,00,000","BMAT, Interviews","6 Years","Biomedical Sciences,Clinical Practice","https://www.ox.ac.uk/","https://www.medsci.ox.ac.uk/study/medicine"
oxford-uk,"University of Oxford",-1,"Oxford","UK",oxford-mba,"MBA","Business","Rs. 70,00,000","GMAT, Essays","1 Year","Global Strategy,Finance","https://www.ox.ac.uk/","https://www.sbs.ox.ac.uk/programmes/mba"
cambridge-uk,"University of Cambridge",-1,"Cambridge","UK",cambridge-math,"Mathematics (Tripos)","Arts & Science","Rs. 35,00,000","STEP, A-Levels","3 Years","Pure Mathematics,Applied Mathematics","https://www.cam.ac.uk/","https://www.maths.cam.ac.uk/"
cambridge-uk,"University of Cambridge",-1,"Cambridge","UK",cambridge-nst,"Natural Sciences (Tripos)","Arts & Science","Rs. 35,00,000","A-Levels","3 Years","Physics,Chemistry,Biology","https://www.cam.ac.uk/","https://www.natsci.tripos.cam.ac.uk/"
cambridge-uk,"University of Cambridge",-1,"Cambridge","UK",cambridge-cs,"Computer Science (Tripos)","Engineering","Rs. 39,00,000","A-Levels","3 Years","Programming,Digital Systems","https://www.cam.ac.uk/","https://www.cst.cam.ac.uk/"
cambridge-uk,"University of Cambridge",-1,"Cambridge","UK",cambridge-mba,"MBA","Business","Rs. 68,00,000","GMAT, Essays","1 Year","Entrepreneurship,Consulting","https://www.cam.ac.uk/","https://www.jbs.cam.ac.uk/programmes/mba/"
cambridge-uk,"University of Cambridge",-1,"Cambridge","UK",cambridge-med,"Medicine","Medicine","Rs. 42,00,000","BMAT, Interviews","6 Years","Medical Science,Clinical Training","https://www.cam.ac.uk/","https://www.medschl.cam.ac.uk/"
amrita-vishwa-vidyapeetham,"Amrita Vishwa Vidyapeetham",7,"Coimbatore","India",amrita-cs,"B.Tech Computer Science","Engineering","Rs. 14,00,000","AEEE","4 Years","AI,Cybersecurity,Virtual Reality","https://www.amrita.edu/","https://www.amrita.edu/program/b-tech-computer-science-and-engineering/"
amrita-vishwa-vidyapeetham,"Amrita Vishwa Vidyapeetham",7,"Coimbatore","India",amrita-ayurveda,"BAMS (Ayurveda)","Medicine","Rs. 12,00,000","NEET","5.5 Years","Ayurvedic Medicine,Surgery","https://www.amrita.edu/","https://www.amrita.edu/program/bachelor-of-ayurvedic-medicine-and-surgery-b-a-m-s/"
amrita-vishwa-vidyapeetham,"Amrita Vishwa Vidyapeetham",7,"Coimbatore","India",amrita-masscom,"Mass Communication","Arts & Science","Rs. 6,00,000","Merit-based","3 Years","Journalism,Advertising,Visual Media","https://www.amrita.edu/","https://www.amrita.edu/program/b-a-in-communication/"
amrita-vishwa-vidyapeetham,"Amrita Vishwa Vidyapeetham",7,"Coimbatore","India",amrita-mba,"MBA","Business","Rs. 11,00,000","CAT/XAT/GMAT","2 Years","Finance,Marketing,Operations,HR","https://www.amrita.edu/","https://www.amrita.edu/program/master-of-business-administration-mba/"
amrita-vishwa-vidyapeetham,"Amrita Vishwa Vidyapeetham",7,"Coimbatore","India",amrita-socialwork,"Master of Social Work","Arts & Science","Rs. 4,00,000","Merit-based","2 Years","Community Development,Medical Psychiatry","https://www.amrita.edu/","https://www.amrita.edu/program/master-of-social-work-msw/"
jamia-millia-islamia,"Jamia Millia Islamia",18,"New Delhi","India",jmi-architecture,"Bachelor of Architecture","Arts & Science","Rs. 80,000","JEE Main/NATA","5 Years","Architectural Design,Building Construction","https://www.jmi.ac.in/","https://www.jmi.ac.in/architecture"
jamia-millia-islamia,"Jamia Millia Islamia",18,"New Delhi","India",jmi-masscom,"MA Mass Communication","Arts & Science","Rs. 1,40,000","JMI Entrance Test","2 Years","Print Journalism,Broadcast Journalism","https://www.jmi.ac.in/","https://www.jmi.ac.in/mcrc"
jamia-millia-islamia,"Jamia Millia Islamia",18,"New Delhi","India",jmi-btech-cs,"B.Tech Computer Engineering","Engineering","Rs. 65,000","JEE Main","4 Years","Software Engineering,Data Structures","https://www.jmi.ac.in/","https://www.jmi.ac.in/fet"
jamia-millia-islamia,"Jamia Millia Islamia",18,"New Delhi","India",jmi-mba,"MBA","Business","Rs. 1,20,000","JMI Entrance Test","2 Years","International Business,Entrepreneurship","https://www.jmi.ac.in/","https://www.jmi.ac.in/cbs"
jamia-millia-islamia,"Jamia Millia Islamia",18,"New Delhi","India",jmi-bds,"Bachelor of Dental Surgery","Medicine","Rs. 2,00,000","NEET","5 Years","Oral Surgery,Prosthodontics","https://www.jmi.ac.in/","https://www.jmi.ac.in/dentistry"
